TYPE = NURBS

GLOBAL_S = [0 0 0 0 0.0156423 0.0234634 0.0312845 0.0391057 0.0469268 0.0547479 0.0625691 0.0703902 0.0770446 0.0825322 0.086853 0.0911738 0.0954946 0.0998154 0.104136 0.108457 0.112778 0.117099 0.122901 0.130186 0.138952 0.147719 0.156485 0.165252 0.174018 0.182785 0.191551 0.200318 0.209084 0.217851 0.226617 0.235384 0.24415 0.252916 0.261683 0.270449 0.279216 0.287982 0.299462 0.313655 0.33056 0.347466 0.364372 0.381277 0.398183 0.415089 0.431995 0.4489 0.477977 0.519225 0.572645 0.626064 0.679484 0.732903 0.786322 0.839742 0.893161 1.0 1.0 1.0 1.0]

GLOBAL_T = [0 0 0 0 1 1 1 1]

GLOBAL_U = [0.0]

DEGREE_S = 3
DEGREE_T = 3
DEGREE_U = 0

NUM_CP = 244
-152.093 3.15185e-022 0 1
-145.401 4.54242e-005 0 1
-135.362 -9.08484e-005 0 1
-121.977 0.000136273 0 1
-111.938 -0.000511022 0 1
-101.9 0.00190782 0 1
-91.8597 -0.00712024 0 1
-81.8261 0.0265732 0 1
-71.7683 -0.0991724 0 1
-62.2967 0.34678 0 1
-53.5501 -1.00242 0 1
-46.8998 1.57902 0 1
-41.1142 3.28336 0 1
-35.8233 4.95761 0 1
-30.5278 6.60241 0 1
-25.2335 8.25437 0 1
-19.9391 9.90712 0 1
-14.6441 11.5496 0 1
-9.35168 13.2324 0 1
-3.44305 14.939 0 1
3.61876 17.8845 0 1
12.9984 13.8587 0 1
23.4091 12.9056 0 1
34.5162 10.7731 0 1
45.6033 8.94143 0 1
56.6957 7.02915 0 1
67.7867 5.13846 0 1
78.8781 3.24199 0 1
89.9694 1.34707 0 1
101.061 -0.548269 0 1
112.152 -2.4435 0 1
123.243 -4.33875 0 1
134.335 -6.234 0 1
145.426 -8.12925 0 1
156.517 -10.0245 0 1
167.609 -11.9197 0 1
178.7 -13.8152 0 1
189.791 -15.7095 0 1
200.882 -17.6082 0 1
213.12 -19.6849 0 1
227.632 -22.2412 0 1
245.692 -24.6587 0 1
265.999 -27.7217 0 1
